customer_id,signup_date,channel,tier,signup_month
146,2023-06-08,Paid Search,Bronze,2023-06
147,2024-07-12,Paid Social,Silver,2024-07
148,2024-03-06,Organic,Bronze,2024-03
149,2023-07-30,Paid Search,Silver,2023-07
150,2023-07-10,Paid Social,Bronze,2023-07
151,2023-07-31,Referral,Silver,2023-07
152,2024-01-01,Referral,Gold,2024-01
153,2024-03-30,Organic,Bronze,2024-03
154,2024-07-08,Organic,Gold,2024-07
155,2023-08-15,Email,Silver,2023-08
156,2023-04-21,Paid Social,Bronze,2023-04
157,2023-07-17,Paid Search,Gold,2023-07
158,2023-06-11,Paid Social,Silver,2023-06
159,2024-01-27,Referral,Bronze,2024-01
160,2023-08-07,Referral,Silver,2023-08
161,2023-07-11,Paid Social,Silver,2023-07
162,2023-08-16,Email,Silver,2023-08
163,2023-07-10,Paid Search,Gold,2023-07
164,2023-06-05,Email,Bronze,2023-06
165,2024-05-30,Organic,Gold,2024-05
166,2023-05-27,Organic,Bronze,2023-05
167,2024-01-26,Email,Bronze,2024-01
168,2023-04-03,Paid Search,Bronze,2023-04
169,2023-12-21,Paid Search,Silver,2023-12
170,2024-07-16,Paid Search,Bronze,2024-07
171,2023-06-11,Paid Search,Silver,2023-06
172,2023-05-20,Organic,Silver,2023-05
173,2023-08-27,Referral,Bronze,2023-08
174,2023-04-16,Referral,Bronze,2023-04
175,2023-05-11,Email,Bronze,2023-05
176,2024-10-10,Paid Social,Bronze,2024-10
177,2024-03-03,Organic,Bronze,2024-03
178,2023-05-07,Paid Social,Bronze,2023-05
179,2024-04-11,Paid Social,Silver,2024-04
180,2023-07-20,Paid Search,Bronze,2023-07
181,2023-11-22,Referral,Bronze,2023-11
182,2023-09-16,Organic,Silver,2023-09
183,2024-03-08,Paid Search,Silver,2024-03
184,2023-12-09,Paid Social,Bronze,2023-12
185,2023-06-15,Referral,Bronze,2023-06
186,2023-05-11,Email,Gold,2023-05
187,2023-04-05,Email,Bronze,2023-04
188,2024-01-15,Paid Social,Bronze,2024-01
189,2023-04-01,Organic,Silver,2023-04
190,2023-09-26,Organic,Bronze,2023-09
191,2023-09-22,Organic,Bronze,2023-09
192,2023-08-21,Email,Bronze,2023-08
193,2023-12-01,Paid Search,Silver,2023-12
194,2023-04-18,Organic,Bronze,2023-04
195,2023-04-26,Organic,Silver,2023-04
196,2023-12-26,Organic,Silver,2023-12
197,2023-06-23,Paid Social,Bronze,2023-06
198,2024-01-07,Organic,Gold,2024-01
199,2023-09-25,Email,Bronze,2023-09
200,2023-12-27,Email,Bronze,2023-12
201,2023-07-29,Organic,Bronze,2023-07
202,2023-06-06,Email,Silver,2023-06
203,2024-08-08,Paid Social,Bronze,2024-08
204,2024-09-02,Paid Search,Silver,2024-09
205,2024-06-13,Organic,Bronze,2024-06
206,2023-11-17,Paid Social,Bronze,2023-11
207,2023-09-27,Organic,Silver,2023-09
208,2023-03-07,Organic,Bronze,2023-03
209,2023-11-13,Paid Search,Bronze,2023-11
210,2023-06-11,Paid Social,Silver,2023-06
211,2023-04-04,Referral,Silver,2023-04
212,2023-11-11,Paid Social,Silver,2023-11
213,2024-09-01,Email,Silver,2024-09
214,2023-03-30,Paid Search,Gold,2023-03
215,2023-09-01,Paid Social,Silver,2023-09
216,2023-06-24,Paid Search,Bronze,2023-06
217,2023-12-25,Organic,Bronze,2023-12
218,2024-01-09,Paid Search,Gold,2024-01
219,2023-07-15,Email,Bronze,2023-07
220,2023-07-09,Referral,Bronze,2023-07
221,2024-02-16,Paid Social,Bronze,2024-02
222,2023-06-06,Paid Search,Bronze,2023-06
223,2023-03-30,Referral,Gold,2023-03
224,2023-11-16,Organic,Gold,2023-11
225,2023-10-03,Organic,Silver,2023-10
226,2023-10-23,Paid Social,Bronze,2023-10
227,2024-03-19,Paid Social,Bronze,2024-03
228,2024-02-20,Organic,Silver,2024-02
229,2023-10-01,Paid Social,Silver,2023-10
230,2023-09-13,Referral,Bronze,2023-09
231,2023-05-24,Referral,Silver,2023-05
232,2023-03-26,Paid Social,Bronze,2023-03
233,2023-10-06,Organic,Gold,2023-10
234,2024-01-19,Referral,Bronze,2024-01
235,2024-04-15,Email,Silver,2024-04
236,2024-05-10,Referral,Gold,2024-05
237,2024-05-11,Paid Search,Bronze,2024-05
238,2023-12-30,Paid Search,Silver,2023-12
239,2023-06-30,Organic,Bronze,2023-06
240,2023-08-08,Email,Bronze,2023-08
241,2024-01-26,Paid Search,Silver,2024-01
242,2023-11-09,Paid Search,Bronze,2023-11
243,2024-02-25,Paid Search,Silver,2024-02
244,2023-10-04,Paid Social,Bronze,2023-10
245,2023-10-15,Organic,Bronze,2023-10
246,2023-09-18,Paid Search,Bronze,2023-09
247,2023-08-09,Email,Bronze,2023-08
248,2024-06-28,Email,Silver,2024-06
249,2023-07-22,Paid Search,Gold,2023-07
250,2023-12-11,Organic,Bronze,2023-12
251,2023-06-26,Email,Bronze,2023-06
252,2024-06-18,Paid Social,Bronze,2024-06
253,2023-05-08,Paid Search,Bronze,2023-05
254,2023-06-05,Paid Search,Bronze,2023-06
255,2024-03-05,Email,Silver,2024-03
256,2023-11-29,Email,Bronze,2023-11
257,2023-08-08,Paid Search,Bronze,2023-08
258,2024-01-18,Organic,Bronze,2024-01
259,2023-09-20,Email,Bronze,2023-09
260,2023-07-30,Paid Social,Gold,2023-07
261,2023-08-14,Organic,Gold,2023-08
262,2024-05-04,Organic,Silver,2024-05
263,2024-02-07,Organic,Bronze,2024-02
264,2023-12-24,Paid Search,Silver,2023-12
265,2023-10-20,Organic,Silver,2023-10
266,2023-08-30,Paid Search,Bronze,2023-08
267,2023-07-13,Organic,Bronze,2023-07
268,2024-04-04,Organic,Bronze,2024-04
269,2023-04-15,Email,Bronze,2023-04
270,2023-03-17,Email,Gold,2023-03
271,2024-01-11,Email,Silver,2024-01
272,2023-07-29,Email,Bronze,2023-07
273,2024-04-28,Paid Social,Bronze,2024-04
274,2024-02-20,Paid Search,Silver,2024-02
275,2023-10-02,Email,Bronze,2023-10
276,2024-02-23,Referral,Bronze,2024-02
277,2024-03-26,Organic,Silver,2024-03
278,2024-04-16,Paid Search,Bronze,2024-04
279,2023-08-21,Organic,Bronze,2023-08
280,2023-03-15,Organic,Bronze,2023-03
281,2023-01-15,Email,Bronze,2023-01
282,2024-03-30,Paid Search,Bronze,2024-03
283,2023-10-02,Paid Search,Silver,2023-10
284,2023-05-25,Paid Search,Bronze,2023-05
285,2023-11-08,Email,Silver,2023-11
286,2023-10-27,Organic,Silver,2023-10
287,2023-11-03,Organic,Bronze,2023-11
288,2023-08-13,Organic,Bronze,2023-08
289,2024-01-25,Organic,Bronze,2024-01
290,2023-05-11,Paid Social,Silver,2023-05
291,2023-08-26,Paid Search,Bronze,2023-08
292,2023-06-15,Organic,Silver,2023-06
293,2024-01-20,Organic,Bronze,2024-01
294,2023-06-22,Paid Social,Bronze,2023-06
295,2023-04-09,Paid Social,Silver,2023-04
296,2023-11-30,Organic,Bronze,2023-11
297,2023-11-22,Paid Search,Silver,2023-11
298,2023-04-10,Paid Search,Bronze,2023-04
299,2024-03-16,Paid Social,Bronze,2024-03
300,2023-10-29,Paid Social,Bronze,2023-10
301,2023-08-03,Paid Social,Silver,2023-08
302,2023-02-10,Email,Silver,2023-02
303,2024-01-29,Paid Social,Bronze,2024-01
304,2023-11-15,Paid Social,Bronze,2023-11
305,2023-12-10,Organic,Bronze,2023-12
306,2024-01-03,Paid Search,Bronze,2024-01
307,2023-03-06,Email,Gold,2023-03
308,2023-08-17,Organic,Silver,2023-08
309,2024-03-30,Paid Search,Bronze,2024-03
310,2023-04-20,Organic,Bronze,2023-04
311,2023-09-28,Organic,Gold,2023-09
312,2023-04-15,Paid Social,Bronze,2023-04
313,2024-01-18,Paid Search,Bronze,2024-01
314,2023-10-03,Paid Social,Bronze,2023-10
315,2024-01-19,Paid Social,Silver,2024-01
316,2023-12-25,Paid Search,Bronze,2023-12
317,2024-06-04,Email,Silver,2024-06
318,2024-06-17,Paid Search,Bronze,2024-06
319,2023-03-30,Email,Bronze,2023-03
320,2023-12-04,Paid Social,Bronze,2023-12
321,2024-06-19,Paid Search,Silver,2024-06
322,2023-10-26,Paid Social,Bronze,2023-10
323,2024-08-06,Paid Search,Silver,2024-08
324,2023-08-28,Paid Search,Silver,2023-08
325,2024-02-25,Email,Gold,2024-02
326,2024-07-14,Organic,Bronze,2024-07
327,2023-05-19,Paid Social,Bronze,2023-05
328,2023-09-13,Organic,Silver,2023-09
329,2024-07-06,Organic,Silver,2024-07
330,2023-12-19,Email,Silver,2023-12
331,2024-01-06,Paid Social,Bronze,2024-01
332,2024-03-15,Email,Bronze,2024-03
333,2023-09-20,Organic,Bronze,2023-09
334,2024-01-22,Paid Social,Gold,2024-01
335,2023-12-13,Paid Search,Silver,2023-12
336,2023-07-24,Paid Social,Bronze,2023-07
337,2023-09-18,Paid Social,Bronze,2023-09
338,2024-07-31,Referral,Bronze,2024-07
339,2023-06-18,Paid Search,Bronze,2023-06
340,2024-04-10,Referral,Bronze,2024-04
341,2023-11-11,Organic,Bronze,2023-11
342,2024-03-06,Email,Bronze,2024-03
343,2024-03-10,Paid Social,Silver,2024-03
344,2023-12-03,Paid Social,Bronze,2023-12
345,2023-08-03,Organic,Gold,2023-08
346,2024-06-07,Paid Social,Bronze,2024-06
347,2024-03-28,Paid Social,Silver,2024-03
348,2023-11-27,Referral,Bronze,2023-11
349,2023-11-21,Email,Bronze,2023-11
350,2023-06-13,Paid Search,Bronze,2023-06
351,2024-02-17,Paid Social,Bronze,2024-02
352,2024-06-12,Organic,Gold,2024-06
353,2023-05-25,Paid Social,Bronze,2023-05
354,2023-06-09,Paid Search,Silver,2023-06
355,2023-10-13,Organic,Bronze,2023-10
356,2023-07-05,Email,Gold,2023-07
357,2023-10-06,Paid Search,Bronze,2023-10
358,2023-10-01,Organic,Bronze,2023-10
359,2023-05-31,Email,Silver,2023-05
360,2024-07-04,Email,Bronze,2024-07
361,2023-05-26,Organic,Bronze,2023-05
362,2023-10-07,Paid Social,Bronze,2023-10
363,2023-06-28,Organic,Gold,2023-06
364,2024-05-05,Organic,Bronze,2024-05
365,2023-11-03,Email,Bronze,2023-11
366,2023-11-02,Email,Bronze,2023-11
367,2024-06-13,Paid Search,Bronze,2024-06
368,2023-08-30,Email,Bronze,2023-08
369,2023-12-09,Email,Bronze,2023-12
370,2023-06-27,Paid Social,Bronze,2023-06
371,2023-10-10,Paid Social,Bronze,2023-10
372,2024-01-18,Email,Bronze,2024-01
373,2023-06-04,Paid Social,Bronze,2023-06
374,2023-09-07,Organic,Bronze,2023-09
375,2023-12-09,Paid Search,Bronze,2023-12
376,2023-04-18,Paid Social,Bronze,2023-04
377,2024-01-18,Paid Social,Gold,2024-01
378,2023-12-05,Organic,Bronze,2023-12
379,2023-08-15,Organic,Bronze,2023-08
380,2023-10-29,Paid Search,Bronze,2023-10
381,2024-07-24,Organic,Silver,2024-07
382,2023-04-30,Paid Search,Silver,2023-04
383,2023-10-01,Paid Social,Bronze,2023-10
384,2024-07-28,Email,Silver,2024-07
385,2023-06-24,Paid Search,Bronze,2023-06
386,2023-08-12,Paid Social,Gold,2023-08
387,2024-03-19,Paid Social,Bronze,2024-03
388,2023-11-18,Paid Search,Silver,2023-11
389,2023-09-19,Paid Search,Bronze,2023-09
390,2023-05-01,Paid Search,Bronze,2023-05
391,2024-02-29,Paid Search,Bronze,2024-02
392,2024-07-21,Paid Search,Silver,2024-07
393,2023-10-15,Email,Bronze,2023-10
394,2024-02-26,Organic,Gold,2024-02
395,2023-08-03,Email,Gold,2023-08
396,2023-07-03,Email,Bronze,2023-07
397,2023-04-21,Referral,Silver,2023-04
398,2023-12-17,Organic,Bronze,2023-12
399,2024-05-06,Organic,Silver,2024-05
400,2023-09-21,Organic,Silver,2023-09
401,2024-02-21,Email,Bronze,2024-02
402,2023-09-09,Organic,Bronze,2023-09
403,2024-01-25,Paid Search,Silver,2024-01
404,2023-10-06,Paid Social,Bronze,2023-10
405,2023-02-27,Paid Social,Bronze,2023-02
406,2023-06-21,Organic,Gold,2023-06
407,2023-08-06,Paid Social,Silver,2023-08
408,2023-09-25,Paid Social,Bronze,2023-09
409,2023-12-21,Organic,Bronze,2023-12
410,2023-04-03,Referral,Gold,2023-04
411,2023-04-23,Organic,Bronze,2023-04
412,2023-09-17,Paid Social,Silver,2023-09
413,2024-04-23,Paid Social,Bronze,2024-04
414,2023-12-13,Paid Social,Bronze,2023-12
415,2023-05-16,Paid Social,Silver,2023-05
416,2023-03-22,Paid Search,Silver,2023-03
417,2023-08-09,Paid Search,Silver,2023-08
418,2023-10-10,Referral,Gold,2023-10
419,2024-04-15,Email,Bronze,2024-04
420,2023-04-20,Paid Search,Bronze,2023-04
421,2024-02-11,Paid Social,Silver,2024-02
422,2023-06-22,Organic,Bronze,2023-06
423,2024-05-08,Paid Search,Bronze,2024-05
424,2024-02-11,Paid Social,Bronze,2024-02
425,2024-02-08,Referral,Bronze,2024-02
426,2024-03-31,Organic,Gold,2024-03
427,2023-08-04,Paid Search,Bronze,2023-08
428,2024-06-15,Email,Bronze,2024-06
429,2023-09-21,Organic,Bronze,2023-09
430,2024-01-26,Paid Search,Bronze,2024-01
431,2024-05-25,Paid Social,Bronze,2024-05
432,2023-03-08,Organic,Bronze,2023-03
433,2024-03-21,Email,Bronze,2024-03
434,2024-02-29,Paid Search,Bronze,2024-02
435,2024-02-15,Email,Bronze,2024-02
436,2023-05-23,Referral,Silver,2023-05
437,2023-06-12,Paid Search,Silver,2023-06
438,2023-09-16,Organic,Bronze,2023-09
439,2023-10-17,Paid Search,Bronze,2023-10
440,2023-08-04,Paid Search,Gold,2023-08
441,2024-04-29,Organic,Bronze,2024-04
442,2023-01-15,Paid Search,Bronze,2023-01
443,2023-08-28,Organic,Bronze,2023-08
444,2023-04-25,Email,Bronze,2023-04
445,2024-06-14,Organic,Bronze,2024-06
446,2023-12-12,Paid Social,Bronze,2023-12
447,2023-09-23,Organic,Bronze,2023-09
448,2023-05-23,Organic,Bronze,2023-05
449,2023-12-13,Paid Search,Silver,2023-12
450,2023-04-23,Paid Search,Bronze,2023-04
451,2023-11-26,Paid Social,Bronze,2023-11
452,2024-06-06,Organic,Silver,2024-06
453,2024-05-28,Email,Silver,2024-05
454,2023-06-14,Paid Search,Bronze,2023-06
455,2024-05-13,Referral,Bronze,2024-05
456,2023-02-24,Paid Social,Silver,2023-02
457,2023-08-29,Organic,Silver,2023-08
458,2023-06-20,Organic,Gold,2023-06
459,2023-02-10,Paid Social,Bronze,2023-02
460,2024-02-11,Paid Search,Bronze,2024-02
461,2024-04-07,Paid Social,Gold,2024-04
462,2024-03-21,Paid Search,Bronze,2024-03
463,2023-12-04,Paid Social,Bronze,2023-12
464,2023-11-30,Paid Social,Bronze,2023-11
465,2024-07-14,Referral,Bronze,2024-07
466,2023-08-14,Organic,Bronze,2023-08
467,2023-12-14,Organic,Bronze,2023-12
468,2023-07-08,Referral,Silver,2023-07
469,2024-03-27,Organic,Silver,2024-03
470,2024-03-14,Organic,Bronze,2024-03
471,2023-11-25,Organic,Bronze,2023-11
472,2023-12-02,Organic,Silver,2023-12
473,2023-10-10,Referral,Silver,2023-10
474,2023-12-03,Paid Social,Silver,2023-12
475,2023-03-14,Paid Search,Silver,2023-03
476,2023-12-14,Organic,Silver,2023-12
477,2024-07-02,Email,Bronze,2024-07
478,2023-07-28,Referral,Gold,2023-07
479,2023-11-24,Paid Social,Bronze,2023-11
480,2023-09-12,Organic,Silver,2023-09
481,2023-07-20,Paid Search,Bronze,2023-07
482,2024-03-05,Organic,Bronze,2024-03
483,2023-08-06,Organic,Silver,2023-08
484,2024-02-26,Referral,Bronze,2024-02
485,2023-11-07,Paid Search,Bronze,2023-11
486,2023-04-05,Organic,Bronze,2023-04
487,2023-06-25,Paid Search,Bronze,2023-06
488,2023-11-08,Paid Search,Silver,2023-11
489,2023-09-02,Paid Social,Bronze,2023-09
490,2023-08-29,Paid Social,Bronze,2023-08
491,2023-10-12,Organic,Bronze,2023-10
492,2023-07-08,Paid Social,Bronze,2023-07
493,2023-05-21,Email,Gold,2023-05
494,2023-12-15,Organic,Silver,2023-12
495,2023-01-09,Paid Social,Silver,2023-01
496,2023-08-09,Email,Bronze,2023-08
497,2023-12-06,Organic,Bronze,2023-12
498,2024-05-14,Email,Gold,2024-05
499,2023-09-10,Paid Social,Bronze,2023-09
500,2024-07-03,Organic,Bronze,2024-07
501,2023-05-20,Paid Search,Bronze,2023-05
502,2023-12-23,Paid Social,Silver,2023-12
503,2023-09-19,Paid Social,Silver,2023-09
504,2023-04-24,Organic,Bronze,2023-04
505,2024-02-29,Email,Silver,2024-02
506,2023-10-01,Email,Silver,2023-10
507,2023-04-22,Referral,Bronze,2023-04
508,2024-01-03,Organic,Bronze,2024-01
509,2023-03-20,Paid Social,Bronze,2023-03
510,2024-02-08,Email,Silver,2024-02
511,2023-06-17,Paid Search,Bronze,2023-06
512,2024-09-26,Paid Search,Bronze,2024-09
513,2023-07-15,Organic,Silver,2023-07
514,2023-10-01,Paid Social,Bronze,2023-10
515,2023-12-16,Organic,Silver,2023-12
516,2023-07-17,Paid Social,Gold,2023-07
517,2024-04-06,Organic,Silver,2024-04
518,2023-11-06,Organic,Silver,2023-11
519,2023-02-22,Email,Bronze,2023-02
520,2023-04-02,Organic,Silver,2023-04
521,2024-04-29,Paid Social,Silver,2024-04
522,2023-09-19,Organic,Bronze,2023-09
523,2023-09-18,Email,Silver,2023-09
524,2023-09-15,Email,Gold,2023-09
525,2023-05-25,Organic,Bronze,2023-05
526,2023-09-14,Organic,Bronze,2023-09
527,2023-09-11,Paid Social,Bronze,2023-09
528,2024-09-10,Organic,Bronze,2024-09
529,2023-11-07,Organic,Silver,2023-11
530,2023-10-16,Paid Search,Bronze,2023-10
531,2023-10-07,Organic,Silver,2023-10
532,2023-10-19,Paid Social,Bronze,2023-10
533,2023-09-15,Paid Search,Silver,2023-09
534,2024-01-31,Email,Bronze,2024-01
535,2023-09-04,Organic,Gold,2023-09
536,2024-05-02,Organic,Silver,2024-05
537,2023-08-26,Paid Social,Silver,2023-08
538,2024-03-16,Paid Social,Bronze,2024-03
539,2024-04-09,Referral,Bronze,2024-04
540,2023-07-16,Paid Social,Silver,2023-07
541,2023-04-06,Email,Bronze,2023-04
542,2024-06-25,Paid Search,Silver,2024-06
543,2023-08-30,Organic,Bronze,2023-08
544,2023-11-05,Paid Search,Silver,2023-11
545,2023-06-25,Paid Search,Bronze,2023-06
546,2023-07-17,Paid Social,Bronze,2023-07
547,2024-05-27,Paid Search,Bronze,2024-05
548,2024-05-13,Email,Bronze,2024-05
549,2023-12-05,Email,Bronze,2023-12
550,2023-09-15,Organic,Bronze,2023-09
551,2024-01-22,Organic,Silver,2024-01
552,2023-07-26,Paid Social,Bronze,2023-07
553,2023-11-19,Paid Social,Gold,2023-11
554,2023-05-28,Paid Search,Bronze,2023-05
555,2023-05-15,Organic,Bronze,2023-05
556,2023-12-12,Paid Social,Silver,2023-12
557,2023-11-15,Paid Social,Gold,2023-11
558,2023-11-01,Organic,Gold,2023-11
559,2023-08-14,Organic,Gold,2023-08
560,2023-12-12,Paid Social,Gold,2023-12
561,2023-07-21,Paid Social,Bronze,2023-07
562,2023-02-19,Paid Social,Bronze,2023-02
563,2023-09-29,Email,Bronze,2023-09
564,2023-05-06,Referral,Bronze,2023-05
565,2024-02-12,Organic,Bronze,2024-02
566,2024-05-28,Referral,Bronze,2024-05
567,2024-08-04,Organic,Bronze,2024-08
568,2023-10-11,Email,Bronze,2023-10
569,2023-06-24,Organic,Silver,2023-06
570,2023-11-01,Paid Social,Silver,2023-11
571,2023-10-15,Paid Search,Gold,2023-10
572,2023-11-15,Organic,Bronze,2023-11
573,2024-03-30,Paid Search,Bronze,2024-03
574,2023-08-12,Organic,Gold,2023-08
575,2023-11-13,Organic,Silver,2023-11
576,2023-06-01,Paid Search,Gold,2023-06
577,2023-09-24,Referral,Bronze,2023-09
578,2024-08-21,Organic,Bronze,2024-08
579,2023-06-30,Organic,Silver,2023-06
580,2024-02-25,Referral,Silver,2024-02
581,2023-09-04,Paid Social,Gold,2023-09
582,2024-03-02,Paid Search,Bronze,2024-03
583,2024-02-28,Organic,Bronze,2024-02
584,2023-06-04,Email,Bronze,2023-06
585,2024-01-24,Paid Social,Bronze,2024-01
586,2023-04-06,Organic,Bronze,2023-04
587,2023-04-27,Organic,Bronze,2023-04
588,2023-10-15,Organic,Bronze,2023-10
589,2024-05-18,Organic,Silver,2024-05
590,2023-12-20,Paid Search,Silver,2023-12
591,2023-06-15,Paid Social,Bronze,2023-06
592,2023-02-22,Organic,Bronze,2023-02
593,2024-01-13,Paid Search,Bronze,2024-01
594,2023-10-06,Email,Silver,2023-10
595,2023-10-30,Paid Search,Bronze,2023-10
596,2023-12-12,Paid Search,Silver,2023-12
597,2024-03-20,Paid Social,Bronze,2024-03
598,2023-09-27,Email,Bronze,2023-09
